
Steady-state run  :  SOLVIT

      LOOPCT    ;   RELXCC   ;         NRLXCC        ;   ENBALA   ;   ENBALR   ;   DAMPT  ;  VTPSEQ
          10    ; 4.361e+000 ;     1483 (ionsat_dep) ; 3.039e+001 ; 2.134e-001 ;   1.9901 ;   10
          20    ; -1.197e+000 ;     1420 (ionsat_dep) ; 2.046e+001 ; 1.437e-001 ;   1.9345 ;   10
          30    ; 8.198e-001 ;     1484 (ionsat_dep) ; 1.628e+001 ; 1.144e-001 ;   1.9013 ;   10
          40    ; -1.176e-001 ;     1901 (ionsat_dep) ; 1.576e+001 ; 1.107e-001 ;   1.8323 ;   10
          50    ; 1.441e-001 ;     2700 (ionsat_dep) ; 1.580e+001 ; 1.109e-001 ;   1.9210 ;   10
          60    ; 1.264e-001 ;     2701 (ionsat_dep) ; 1.520e+001 ; 1.068e-001 ;   1.8471 ;   10
          70    ; 1.134e-001 ;     2705 (ionsat_dep) ; 1.432e+001 ; 1.006e-001 ;   1.8494 ;   10
          80    ; 1.267e-001 ;     2702 (ionsat_dep) ; 1.342e+001 ; 9.424e-002 ;   1.9339 ;   10
          90    ; 1.400e-001 ;     2700 (ionsat_dep) ; 1.224e+001 ; 8.597e-002 ;   1.9317 ;   10
         100    ; 1.405e-001 ;     2702 (ionsat_dep) ; 1.120e+001 ; 7.866e-002 ;   1.9402 ;   10
         110    ; 1.489e-001 ;     2600 (ionsat_dep) ; 1.006e+001 ; 7.065e-002 ;   1.9512 ;   10
         120    ; 1.495e-001 ;     2600 (ionsat_dep) ; 8.928e+000 ; 6.271e-002 ;   1.9731 ;   10
         130    ; 1.380e-001 ;     2600 (ionsat_dep) ; 7.852e+000 ; 5.515e-002 ;   1.9594 ;   10
         140    ; 1.283e-001 ;     2601 (ionsat_dep) ; 6.783e+000 ; 4.764e-002 ;   1.9496 ;   10
         150    ; 1.282e-001 ;     2605 (ionsat_dep) ; 5.741e+000 ; 4.032e-002 ;   1.9606 ;   10
         160    ; 1.289e-001 ;     2600 (ionsat_dep) ; 4.774e+000 ; 3.353e-002 ;   1.9955 ;   10
         170    ; 6.369e-002 ;     2605 (ionsat_dep) ; 4.206e+000 ; 2.954e-002 ;   1.9128 ;   10
         180    ; 5.515e-002 ;     2604 (ionsat_dep) ; 3.703e+000 ; 2.601e-002 ;   1.9370 ;   10
         190    ; 6.669e-002 ;     2605 (ionsat_dep) ; 3.110e+000 ; 2.184e-002 ;   1.9585 ;   10
         200    ; 5.749e-002 ;     2600 (ionsat_dep) ; 2.726e+000 ; 1.915e-002 ;   1.9828 ;   10
         210    ; 2.316e-002 ;     2600 (ionsat_dep) ; 2.504e+000 ; 1.759e-002 ;   1.9073 ;   10
         220    ; 2.139e-002 ;     2602 (ionsat_dep) ; 2.298e+000 ; 1.614e-002 ;   1.9133 ;   10
         230    ; 1.914e-002 ;     2600 (ionsat_dep) ; 2.120e+000 ; 1.489e-002 ;   1.9249 ;   10
         240    ; 2.004e-002 ;     2600 (ionsat_dep) ; 1.959e+000 ; 1.376e-002 ;   1.9232 ;   10
         250    ; 2.261e-002 ;     2600 (ionsat_dep) ; 1.788e+000 ; 1.256e-002 ;   1.9580 ;   10
         260    ; 2.074e-002 ;     2605 (ionsat_dep) ; 1.628e+000 ; 1.143e-002 ;   1.9289 ;   10
         270    ; 2.231e-002 ;     1264 (ionsat_dep) ; 1.465e+000 ; 1.029e-002 ;   1.9851 ;   10
         280    ; 1.439e-002 ;     2605 (ionsat_dep) ; 1.346e+000 ; 9.454e-003 ;   1.9155 ;   10
         290    ; 1.437e-002 ;     2605 (ionsat_dep) ; 1.218e+000 ; 8.555e-003 ;   1.8783 ;   10
         300    ; 1.382e-002 ;     2601 (ionsat_dep) ; 1.115e+000 ; 7.833e-003 ;   1.9214 ;   10
         310    ; 1.449e-002 ;     2605 (ionsat_dep) ; 9.951e-001 ; 6.989e-003 ;   1.9062 ;   10
         320    ; 1.321e-002 ;     2600 (ionsat_dep) ; 9.013e-001 ; 6.330e-003 ;   1.9474 ;   10
         330    ; 1.324e-002 ;     2605 (ionsat_dep) ; 7.892e-001 ; 5.543e-003 ;   1.9474 ;   10
         340    ; 1.331e-002 ;     2605 (ionsat_dep) ; 6.852e-001 ; 4.813e-003 ;   1.9470 ;   10
         350    ; 1.163e-002 ;     2605 (ionsat_dep) ; 5.842e-001 ; 4.103e-003 ;   1.9195 ;   10
         360    ; 1.032e-002 ;     2605 (ionsat_dep) ; 5.067e-001 ; 3.559e-003 ;   1.9158 ;   10
         370    ; 8.147e-003 ;     2601 (ionsat_dep) ; 4.420e-001 ; 3.104e-003 ;   1.9210 ;    2
         380    ; 7.138e-003 ;     2605 (ionsat_dep) ; 3.847e-001 ; 2.702e-003 ;   1.9166 ;    2
         390    ; 4.783e-003 ;     2600 (ionsat_dep) ; 3.492e-001 ; 2.453e-003 ;   1.9522 ;    2
         400    ; 4.844e-003 ;     2600 (ionsat_dep) ; 3.071e-001 ; 2.157e-003 ;   1.9479 ;    2
         410    ; 5.723e-003 ;     2600 (ionsat_dep) ; 2.622e-001 ; 1.841e-003 ;   1.9758 ;    2
         420    ; 4.530e-003 ;     2605 (ionsat_dep) ; 2.246e-001 ; 1.578e-003 ;   1.9284 ;    2
         430    ; 3.460e-003 ;     2605 (ionsat_dep) ; 1.958e-001 ; 1.375e-003 ;   1.9308 ;    2
         440    ; 2.988e-003 ;     2605 (ionsat_dep) ; 1.701e-001 ; 1.195e-003 ;   1.9369 ;    2
         450    ; 3.069e-003 ;     2600 (ionsat_dep) ; 1.435e-001 ; 1.008e-003 ;   1.9580 ;    2
         460    ; 3.117e-003 ;     2605 (ionsat_dep) ; 1.180e-001 ; 8.289e-004 ;   1.9535 ;    2
         470    ; 2.928e-003 ;     2605 (ionsat_dep) ; 9.689e-002 ; 6.805e-004 ;   1.9567 ;    2
         480    ; 2.742e-003 ;     2601 (ionsat_dep) ; 7.536e-002 ; 5.293e-004 ;   1.9620 ;    2
         490    ; 2.580e-003 ;     2605 (ionsat_dep) ; 5.435e-002 ; 3.817e-004 ;   1.9634 ;    2
         500    ; 1.761e-003 ;     2605 (ionsat_dep) ; 4.005e-002 ; 2.813e-004 ;   1.9468 ;    1
         510    ; 1.417e-003 ;     2603 (ionsat_dep) ; 2.783e-002 ; 1.955e-004 ;   1.9550 ;    1
         520    ; 7.635e-004 ;     2605 (ionsat_dep) ; 2.089e-002 ; 1.467e-004 ;   1.9281 ;    1
         530    ; 5.431e-004 ;     2605 (ionsat_dep) ; 1.530e-002 ; 1.074e-004 ;   1.9555 ;    1
         540    ; 2.867e-004 ;     2705 (ionsat_dep) ; 1.214e-002 ; 8.524e-005 ;   1.8674 ;    1
         550    ; 1.388e-004 ;     2705 (ionsat_dep) ; 1.095e-002 ; 7.691e-005 ;   1.8949 ;    1
         560    ; 1.641e-004 ;     2702 (ionsat_dep) ; 9.346e-003 ; 6.564e-005 ;   1.9618 ;    1
         570    ; 1.958e-004 ;     2705 (ionsat_dep) ; 7.806e-003 ; 5.483e-005 ;   1.9597 ;    1
         580    ; 1.819e-004 ;     2700 (ionsat_dep) ; 6.644e-003 ; 4.667e-005 ;   1.9825 ;    1
         590    ; 1.656e-004 ;     2705 (ionsat_dep) ; 5.411e-003 ; 3.800e-005 ;   1.9681 ;    1
         600    ; 1.323e-004 ;     2601 (ionsat_dep) ; 4.245e-003 ; 2.981e-005 ;   1.9515 ;    1
         609    ; 9.947e-005 ;     2601 (ionsat_dep) ; 3.390e-003 ; 2.381e-005 ;   1.9393 ;    1


Transient run  :  Crank-Nicholson

   ;                                  Time Variables                ;;;;               Implicit Convergence                   ;;;;               Time Discretisation Error                          ;;;
                                 % TIME    ;  TIMEN    ;    DTIMEU   ; LOOPCT ;   RELXCC   ;        NRLXCC         ;   ENBALT   ;    ERRT     ;        NERRMAX        ;   DT OPT  ;
 1 ------------------------->    0.23020 % ;   100.000 ;   10.00000  ;     10 ; -4.369e-005 ;     2100 (ionsat_dep) ; 2.627e-003 ;  2.885e-002 ;     2100 (ionsat_dep) ;    13.620 
 1 ------------------------->    0.46041 % ;   200.000 ;   10.00000  ;      8 ; -8.835e-005 ;     2100 (ionsat_dep) ; 1.126e-002 ;  1.457e-002 ;     2100 (ionsat_dep) ;    17.103 
 1 ------------------------->    0.69061 % ;   300.000 ;   10.00000  ;      8 ; -7.492e-005 ;     2100 (ionsat_dep) ; 1.079e-002 ;  1.332e-002 ;     2100 (ionsat_dep) ;    17.624 
 1 ------------------------->    0.92081 % ;   400.000 ;   10.00000  ;      8 ; -6.141e-005 ;     2100 (ionsat_dep) ; 9.674e-003 ;  1.143e-002 ;     2100 (ionsat_dep) ;    18.545 
 1 ------------------------->    1.15101 % ;   500.000 ;   10.00000  ;      8 ; -5.655e-005 ;     2100 (ionsat_dep) ; 8.239e-003 ;  1.052e-002 ;     2100 (ionsat_dep) ;    19.062 
 1 ------------------------->    1.38122 % ;   600.000 ;   10.00000  ;      8 ; -6.164e-005 ;     2100 (ionsat_dep) ; 6.477e-003 ;  1.062e-002 ;     2100 (ionsat_dep) ;    19.003 
 1 ------------------------->    1.61142 % ;   700.000 ;   10.00000  ;      8 ; -6.346e-005 ;     2100 (ionsat_dep) ; 6.202e-003 ;  1.057e-002 ;     2100 (ionsat_dep) ;    19.036 
 1 ------------------------->    1.84162 % ;   800.000 ;   10.00000  ;      8 ; -5.560e-005 ;     2100 (ionsat_dep) ; 4.660e-003 ;  1.012e-002 ;     2100 (ionsat_dep) ;    19.314 
 1 ------------------------->    2.07182 % ;   900.000 ;   10.00000  ;      8 ; -6.176e-005 ;     2100 (ionsat_dep) ; 3.672e-003 ;  1.045e-002 ;     2100 (ionsat_dep) ;    19.109 
 1 ------------------------->    2.30203 % ;  1000.000 ;   10.00000  ;      8 ; -5.417e-005 ;     2100 (ionsat_dep) ; 3.233e-003 ;  9.847e-003 ;     2100 (ionsat_dep) ;    19.490 
 1 ------------------------->    2.53223 % ;  1100.000 ;   10.00000  ;      8 ; -5.812e-005 ;     2100 (ionsat_dep) ; 2.580e-003 ;  1.027e-002 ;     2100 (ionsat_dep) ;    19.221 
 1 ------------------------->    2.76243 % ;  1200.000 ;   10.00000  ;      7 ; -9.908e-005 ;     2100 (ionsat_dep) ; 3.406e-003 ;  9.952e-003 ;     2100 (ionsat_dep) ;    19.421 
 1 ------------------------->    2.99263 % ;  1300.000 ;   10.00000  ;      8 ; -5.761e-005 ;     2100 (ionsat_dep) ; 1.711e-003 ;  1.017e-002 ;     2100 (ionsat_dep) ;    19.279 
 1 ------------------------->    3.22284 % ;  1400.000 ;   10.00000  ;      8 ; -6.315e-005 ;     2100 (ionsat_dep) ; 1.528e-003 ;  1.038e-002 ;     2100 (ionsat_dep) ;    19.148 
 1 ------------------------->    3.45304 % ;  1500.000 ;   10.00000  ;      8 ; -5.666e-005 ;     2100 (ionsat_dep) ; 1.073e-003 ;  1.014e-002 ;     2100 (ionsat_dep) ;    19.303 
 1 ------------------------->    3.68324 % ;  1600.000 ;   10.00000  ;      8 ; -6.116e-005 ;     2100 (ionsat_dep) ; 8.756e-004 ;  1.030e-002 ;     2100 (ionsat_dep) ;    19.200 
 1 ------------------------->    3.91344 % ;  1700.000 ;   10.00000  ;      8 ; -5.607e-005 ;     2100 (ionsat_dep) ; 4.776e-004 ;  1.007e-002 ;     2100 (ionsat_dep) ;    19.343 
 1 ------------------------->    4.14365 % ;  1800.000 ;   10.00000  ;     13 ; -8.709e-005 ;     2100 (ionsat_dep) ; 1.085e-004 ;  1.423e-001 ;     1447 (ionsat_dep) ;     8.002 
 1 ------------------------->    4.37385 % ;  1900.000 ;   10.00000  ;      7 ; 9.226e-005 ;     2705 (ionsat_dep) ; 2.102e-002 ;  3.594e-003 ;     2100 (ionsat_dep) ;    27.272 
 1 ------------------------->    4.60405 % ;  2000.000 ;   10.00000  ;      8 ; 6.984e-005 ;     2705 (ionsat_dep) ; 1.518e-002 ;  5.120e-003 ;     2100 (ionsat_dep) ;    24.238 
 1 ------------------------->    4.83425 % ;  2100.000 ;   10.00000  ;      7 ; 8.872e-005 ;     2705 (ionsat_dep) ; 1.991e-002 ;  7.805e-003 ;     2100 (ionsat_dep) ;    21.059 
 1 ------------------------->    5.04604 % ;  2192.000 ;   10.00000  ;      7 ; 9.012e-005 ;     2705 (ionsat_dep) ; 1.992e-002 ;  8.642e-003 ;     2100 (ionsat_dep) ;    20.357 
 1 ------------------------->    5.27624 % ;  2292.000 ;   10.00000  ;      8 ; -6.152e-005 ;     2100 (ionsat_dep) ; 1.120e-002 ;  1.093e-002 ;     2100 (ionsat_dep) ;    18.822 
 1 ------------------------->    5.50645 % ;  2392.000 ;   10.00000  ;      7 ; -9.507e-005 ;     2100 (ionsat_dep) ; 1.604e-002 ;  1.028e-002 ;     2100 (ionsat_dep) ;    19.215 
 1 ------------------------->    5.73665 % ;  2492.000 ;   10.00000  ;      8 ; -6.807e-005 ;     2100 (ionsat_dep) ; 1.065e-002 ;  1.025e-002 ;     2100 (ionsat_dep) ;    19.233 
 1 ------------------------->    5.96685 % ;  2592.000 ;   10.00000  ;      8 ; -5.498e-005 ;     2100 (ionsat_dep) ; 1.080e-002 ;  1.032e-002 ;     2100 (ionsat_dep) ;    19.186 
 1 ------------------------->    6.19705 % ;  2692.000 ;   10.00000  ;      8 ; -5.983e-005 ;     2100 (ionsat_dep) ; 1.086e-002 ;  1.041e-002 ;     2100 (ionsat_dep) ;    19.131 
 1 ------------------------->    6.42726 % ;  2792.000 ;   10.00000  ;      8 ; -5.755e-005 ;     2100 (ionsat_dep) ; 1.116e-002 ;  1.015e-002 ;     2100 (ionsat_dep) ;    19.295 
 1 ------------------------->    6.65746 % ;  2892.000 ;   10.00000  ;      8 ; -5.993e-005 ;     2100 (ionsat_dep) ; 1.141e-002 ;  1.030e-002 ;     2100 (ionsat_dep) ;    19.199 
 1 ------------------------->    6.88766 % ;  2992.000 ;   10.00000  ;      7 ; -9.944e-005 ;     2100 (ionsat_dep) ; 2.060e-002 ;  1.042e-002 ;     2100 (ionsat_dep) ;    19.126 
 1 ------------------------->    7.11786 % ;  3092.000 ;   10.00000  ;      8 ; 5.483e-005 ;     2705 (ionsat_dep) ; 1.139e-002 ;  1.011e-002 ;     2100 (ionsat_dep) ;    19.319 
 1 ------------------------->    7.34807 % ;  3192.000 ;   10.00000  ;      8 ; -6.268e-005 ;     2100 (ionsat_dep) ; 1.198e-002 ;  1.064e-002 ;     2100 (ionsat_dep) ;    18.992 
 1 ------------------------->    7.57827 % ;  3292.000 ;   10.00000  ;      8 ; -6.138e-005 ;     2100 (ionsat_dep) ; 1.023e-002 ;  1.052e-002 ;     2100 (ionsat_dep) ;    19.063 
 1 ------------------------->    7.80847 % ;  3392.000 ;   10.00000  ;      7 ; -9.745e-005 ;     2100 (ionsat_dep) ; 1.459e-002 ;  1.009e-002 ;     2100 (ionsat_dep) ;    19.335 
 1 ------------------------->    8.03867 % ;  3492.000 ;   10.00000  ;      8 ; -6.584e-005 ;     2100 (ionsat_dep) ; 7.775e-003 ;  1.092e-002 ;     2100 (ionsat_dep) ;    18.827 
 1 ------------------------->    8.26888 % ;  3592.000 ;   10.00000  ;      8 ; -5.479e-005 ;     2100 (ionsat_dep) ; 6.208e-003 ;  1.013e-002 ;     2100 (ionsat_dep) ;    19.305 
 1 ------------------------->    8.49908 % ;  3692.000 ;   10.00000  ;      8 ; -5.936e-005 ;     2100 (ionsat_dep) ; 4.590e-003 ;  1.077e-002 ;     2100 (ionsat_dep) ;    18.916 
